strand,consensus_exact,consensus_edit_distance,consensus_N_count,consensus_read_count,consensus_mean_depth,dbgps_status,dbgps_observed,dbgps_total_kmers,dbgps_path_complete,dbgps_min_coverage,dbgps_mean_coverage,dbgps_max_coverage,classification
101011516,True,0,0,14,11.311,ok,131,134,False,0,6.791,10,consensus_only
101011576,False,1,1,11,8.860,ok,134,134,True,1,5.746,10,dbgps_only
101011600,False,1,1,8,6.305,ok,134,134,True,1,4.791,8,dbgps_only
101011618,True,0,0,5,3.628,ok,104,134,False,0,2.403,4,consensus_only
101011672,False,1,1,29,22.970,ok,134,134,True,2,14.724,23,dbgps_only
101011703,True,0,0,8,6.146,ok,132,134,False,0,4.769,8,consensus_only
101011748,True,0,0,6,4.433,ok,106,134,False,0,3.575,6,consensus_only
101011781,False,1,1,10,8.085,ok,134,134,True,1,5.433,9,dbgps_only
101011785,False,1,1,5,4.024,ok,134,134,True,1,3.418,5,dbgps_only
101011833,False,1,1,3,2.415,ok,134,134,True,1,2.03,3,dbgps_only
101011922,False,1,1,2,1.616,ok,134,134,True,1,1.351,2,dbgps_only
101011982,True,0,0,10,7.159,ok,108,134,False,0,5.216,9,consensus_only
101011987,False,1,0,8,6.439,ok,134,134,True,1,4.612,7,dbgps_only
101012114,False,1,1,2,1.610,ok,134,134,True,1,1.5,2,dbgps_only
101012157,False,1,1,6,4.317,ok,134,134,True,1,3.231,6,dbgps_only
101012222,True,0,0,11,8.421,ok,128,134,False,0,6.41,10,consensus_only
101012223,False,2,2,13,10.457,ok,134,134,True,1,8.239,12,dbgps_only
101012297,False,1,1,3,2.415,ok,134,134,True,1,1.963,3,dbgps_only
101012313,False,1,1,8,6.439,ok,134,134,True,1,5.209,8,dbgps_only
101012315,False,6,6,4,3.220,ok,134,134,True,1,2.448,4,dbgps_only
101012319,True,0,0,11,8.665,ok,127,134,False,0,5.94,9,consensus_only
101012325,False,1,1,16,12.896,ok,134,134,True,1,8.172,13,dbgps_only
101012333,False,1,1,4,3.220,ok,134,134,True,1,2.701,4,dbgps_only
101012378,True,0,0,18,14.451,ok,126,134,False,0,9.963,15,consensus_only
101012431,False,1,1,6,4.884,ok,134,134,True,1,3.709,6,dbgps_only
101012490,False,1,1,10,8.091,ok,134,134,True,1,4.507,9,dbgps_only
101012558,False,1,1,6,4.829,ok,134,134,True,1,3.858,6,dbgps_only
101012581,True,0,0,6,4.354,ok,126,134,False,0,3.754,5,consensus_only
101012589,True,0,0,10,7.457,ok,116,134,False,0,5.701,9,consensus_only
101012603,True,0,0,4,3.220,ok,112,134,False,0,2.813,4,consensus_only
101012626,False,1,1,10,7.963,ok,134,134,True,1,6.015,9,dbgps_only
101012671,False,1,1,8,6.439,ok,134,134,True,1,4.396,8,dbgps_only
101012715,False,1,1,4,3.220,ok,134,134,True,1,2.44,4,dbgps_only
101012809,False,1,1,7,5.634,ok,134,134,True,1,4.112,7,dbgps_only
101012836,False,1,1,3,2.415,ok,134,134,True,1,2.201,3,dbgps_only
101012852,False,4,4,5,3.171,ok,134,134,True,1,2.216,4,dbgps_only
101012952,False,1,1,10,8.055,ok,134,134,True,1,5.0,8,dbgps_only
101013045,False,1,1,6,4.829,ok,134,134,True,1,3.44,6,dbgps_only
101013082,True,0,0,8,6.439,ok,125,134,False,0,4.194,7,consensus_only
101013085,False,1,1,7,5.152,ok,134,134,True,1,3.679,6,dbgps_only
101013108,True,0,0,13,10.482,ok,120,134,False,0,7.813,12,consensus_only
101013192,True,0,0,6,4.445,ok,107,134,False,0,2.724,5,consensus_only
101013238,True,0,0,5,3.878,ok,122,134,False,0,1.836,5,consensus_only
101013288,True,0,0,8,6.317,ok,123,134,False,0,4.448,8,consensus_only
101013291,False,1,1,8,6.445,ok,134,134,True,1,4.634,7,dbgps_only
101013318,True,0,0,6,4.787,ok,131,134,False,0,2.269,5,consensus_only
101013340,True,0,0,14,10.354,ok,130,134,False,0,7.746,12,consensus_only
101013368,False,2,2,9,7.238,ok,134,134,True,1,5.724,8,dbgps_only
101013390,False,1,1,8,6.439,ok,134,134,True,1,4.993,8,dbgps_only
101013418,False,2,2,6,4.829,ok,134,134,True,1,3.343,6,dbgps_only
101013447,True,0,0,12,9.506,ok,132,134,False,0,6.784,11,consensus_only
101013540,False,2,2,4,3.220,ok,134,134,True,1,2.343,4,dbgps_only
101013744,True,0,0,5,4.024,ok,104,134,False,0,2.881,5,consensus_only
101013829,True,0,0,6,4.829,ok,126,134,False,0,2.866,6,consensus_only
101013920,False,1,1,4,3.220,ok,134,134,True,1,2.664,4,dbgps_only
101013934,False,1,1,7,5.628,ok,134,134,True,1,4.06,7,dbgps_only
101013976,False,1,1,7,5.738,ok,134,134,True,1,4.873,7,dbgps_only
101014022,False,1,1,4,2.902,ok,134,134,True,1,2.0,3,dbgps_only
101014090,False,1,1,6,4.445,ok,134,134,True,1,3.672,5,dbgps_only
101014137,False,1,1,10,8.049,ok,134,134,True,1,6.179,10,dbgps_only
101014147,False,1,1,7,5.604,ok,134,134,True,1,3.836,7,dbgps_only
101014151,False,1,1,12,9.067,ok,134,134,True,1,5.716,9,dbgps_only
101014186,False,1,1,5,4.024,ok,134,134,True,1,3.209,5,dbgps_only
101014257,True,0,0,7,5.634,ok,105,134,False,0,4.194,7,consensus_only
101014262,False,1,1,9,7.000,ok,134,134,True,1,5.306,8,dbgps_only
101014325,False,2,2,6,4.829,ok,134,134,True,1,3.769,6,dbgps_only
101014333,False,1,0,5,4.030,ok,134,134,True,1,3.709,5,dbgps_only
101014394,False,1,0,10,7.671,ok,134,134,True,1,4.978,8,dbgps_only
101014397,False,4,3,10,7.689,ok,134,134,True,1,5.739,9,dbgps_only
101014417,False,1,1,12,9.134,ok,134,134,True,1,5.127,8,dbgps_only
101014449,False,1,1,6,4.823,ok,134,134,True,1,3.903,6,dbgps_only
101014465,False,1,1,5,4.024,ok,134,134,True,1,3.619,5,dbgps_only
101014491,True,0,0,8,6.439,ok,128,134,False,0,4.955,8,consensus_only
101014527,False,1,1,8,5.579,ok,134,134,True,1,4.567,7,dbgps_only
101014576,False,2,2,20,15.549,ok,134,134,True,2,10.321,18,dbgps_only
101014609,False,1,1,4,3.293,ok,134,134,True,1,2.507,4,dbgps_only
101014678,False,1,1,5,4.024,ok,134,134,True,1,2.381,5,dbgps_only
101014681,False,1,1,5,4.018,ok,134,134,True,1,3.104,5,dbgps_only
101014684,True,0,0,8,6.537,ok,126,134,False,0,5.403,8,consensus_only
101014685,False,2,2,8,5.366,ok,134,134,True,1,3.075,5,dbgps_only
101014686,False,1,1,11,8.933,ok,134,134,True,1,6.91,10,dbgps_only
101014715,False,1,1,8,6.409,ok,134,134,True,1,5.052,8,dbgps_only
101014773,False,1,1,10,8.220,ok,134,134,True,1,5.545,10,dbgps_only
101014782,False,1,1,7,5.024,ok,134,134,True,1,3.657,6,dbgps_only
101014790,False,1,1,9,7.183,ok,134,134,True,1,5.269,9,dbgps_only
101014811,True,0,0,10,8.055,ok,133,134,False,0,6.157,10,consensus_only
101014818,False,1,1,5,3.433,ok,134,134,True,1,2.366,4,dbgps_only
101014872,False,1,1,10,7.591,ok,134,134,True,1,4.664,8,dbgps_only
101014953,False,1,1,4,2.829,ok,134,134,True,1,2.075,3,dbgps_only
101015004,False,1,1,12,9.530,ok,134,134,True,1,8.358,12,dbgps_only
101015025,True,0,0,5,3.494,ok,125,134,False,0,2.642,4,consensus_only
101015144,False,2,2,8,6.439,ok,134,134,True,1,4.284,7,dbgps_only
101015284,False,1,1,3,2.415,ok,134,134,True,1,1.933,3,dbgps_only
