strand,consensus_exact,consensus_edit_distance,consensus_N_count,consensus_read_count,consensus_mean_depth,dbgps_status,dbgps_observed,dbgps_total_kmers,dbgps_path_complete,dbgps_min_coverage,dbgps_mean_coverage,dbgps_max_coverage,classification
101253666,True,0,0,4,3.220,ok,111,134,False,0,2.493,4,consensus_only
101254678,False,1,1,19,15.293,ok,134,134,True,2,10.709,16,dbgps_only
101255883,False,1,1,6,4.427,ok,134,134,True,1,3.231,5,dbgps_only
101256100,True,0,0,127,100.890,ok,127,134,False,0,72.978,106,consensus_only
101256879,False,1,1,9,5.756,ok,134,134,True,1,3.791,6,dbgps_only
101257124,False,1,1,151,96.970,ok,134,134,True,34,65.134,117,dbgps_only
101257349,False,1,1,6,4.854,ok,134,134,True,1,4.03,6,dbgps_only
101257863,False,1,1,13,10.018,ok,134,134,True,2,6.746,11,dbgps_only
101259343,False,1,1,110,87.451,ok,134,134,True,1,60.134,84,dbgps_only
101260592,False,1,1,11,8.854,ok,134,134,True,1,7.948,11,dbgps_only
101262619,True,0,0,7,5.634,ok,115,134,False,0,2.925,5,consensus_only
101263857,False,1,1,208,166.689,ok,134,134,True,70,125.425,172,dbgps_only
